Action;Cód. Cliente;Cliente;Razón Social;Cód. Sector;Sector;Cód. CR;Activo;Cód. Interno;Cecos;Nombre Instalación;Tipo Gasto;Cód. Centralización;Tipo Servicio;Inicio;Término;StandBy;Área Funcional;Dirección Principal;Comuna;Dirección Adicional;Latitud;Longitud;Tipo Tolerancia Entrada Laboral Temprana;Tolerancia Entrada Laboral Temprana;Tipo Tolerancia Entrada Laboral Tardía;Tolerancia Entrada Laboral Tardía;Tipo Máx. Atraso.;Máx. Atraso;Tipo Tolerancia Salida Laboral Temprana;Tolerancia Salida Laboral Temprana;Tipo Tolerancia Salida Laboral Tardía;Tolerancia Salida Laboral Tardía;Tipo Máx. Tiempo Extra Permitido;Máx Tiempo Extra Permitido;Correo de copia factura;Tolerancia Metros Distancia Faceid;Nombre de Contacto;Teléfono;Email Contacto;Máx. Hr. Extra MismoTurno;Máx Hr. Traslape Mismo Turno;¿Cola. Día?;¿Cola. Noche?;¿Generar PPC?;¿Ausent. Autom.?;¿AS Autom. Al Crear Rol?;Permite TVF;Valor TVF;I_OBSERVACIONES;Teléfono 1;Teléfono 2;Bomberos;Mutual;Carabineros;Ambulancia;Teléfonos Autorizados IVR;Planner;Encargado;Controller;Cantidad Colab. Cecos.;Cantidad Colab. Rol.;Correo Solicitud Qr
crear,eliminar,modificar;15;CAICONA SPA;CAICONA SPA;13;Región Metropolitana;1;SI;;15-13-1;Caicoma Cerro Navia- Escuela;;;;09-12-2024;;NO;;LA CAPILLA 8550;Cerro Navia (Santiago);;-33,414654;-70,761690;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;;;132;1407;133;131;;;;;0;0;
crear,eliminar,modificar;16;GL Events;GL Events;13;Región Metropolitana;1;SI;;16-13-1;Metropolitan;;;;28-01-2025;;NO;;Costanera Sur S.J.E. de Balaguer 5600;Vitacura (Santiago);;-33,383281;-70,588181;Personalizado;0;Personalizado;0;Personalizado;0;Personalizado;0;Personalizado;0;Personalizado;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;0;0;132;1407;133;131;;;;;5;4;
crear,eliminar,modificar;17;Embajada Brasil;Embajada Brasil;13;Región Metropolitana;1;SI;;17-13-1;Embajada Brasil;;;;01-04-2025;;NO;;Libertado Bernardo O´Higgins 1656;Santiago (Santiago);;-33,446433;-70,659671;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;;;132;1407;133;131;;;;;16;17;
crear,eliminar,modificar;18;Newtree;Indecisiones NTBB spa;8;Región del Biobío;1;SI;;18-8-1;Newtree;;;;15-03-2025;;NO;;Av los carreras poniente 301, mall plaza mirador Biobio;Concepción (Concepción);;-36,829983;-73,063785;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;20,00;20,00;NO;NO;SI;NO;NO;SI;;;0;0;132;1407;133;131;;;;;2;2;
crear,eliminar,modificar;19;Moova;Moova chile spa ;13;Región Metropolitana;1;SI;;19-13-1;Moova;;;;09-04-2025;;NO;;Américo Vespucio 1367;Huechuraba (Santiago);;-33,371475;-70,669084;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;;;132;1407;133;131;;;;;0;0;
crear,eliminar,modificar;20;CRIG;CHINA RAILWAIL INTERNATIONAL;13;Región Metropolitana;1;SI;;20-13-1;Centro Gestión;;;;23-05-2025;;NO;;Pasaje Juan Covarrubias 65;Padre Hurtado (Talagante);;-33,567859;-70,814630;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;;;132;1407;133;131;;;;;0;0;
crear,eliminar,modificar;21;Bodega Santa Amalia;Inversiones Santa Amalia;13;Región Metropolitana;1;SI;;21-13-1;Bodega Santa Amalia;;;;08-06-2025;;NO;;Guanaco 6464;Huechuraba (Santiago);;-33,365645;-70,660948;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;18,00;18,00;NO;NO;SI;NO;NO;SI;;;0;0;132;1407;133;131;;;;;6;6;
crear,eliminar,modificar;22;CHINA ;CHINA;13;Región Metropolitana;1;SI;;22-13-1;CHINA;;;;23-05-2025;01-06-2025;NO;;covarruvias 65;Aisén (Aisén);;-33,572959;-70,818796;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;;;132;1407;133;131;;;;;0;0;
crear,eliminar,modificar;23;Jugabet;Jugabet;13;Región Metropolitana;1;SI;;23-13-1;Jugabet;;;;01-06-2025;;NO;;San Pascual 187;Las Condes (Santiago);;-33,414433;-70,580518;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;0;0;132;1407;133;131;;;;;0;0;
crear,eliminar,modificar;24;Pine;Pine SpA;16;Región de Ñuble;1;SI;;24-16-1;Pine;;;;10-06-2025;;NO;;Parcelación Dañicalqui N°18, Subestación Entre Ríos;Pemuco (Diguillín);;0,000000;0,000000;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;0;0;132;1407;133;131;;;;;4;4;
